shirt_number,player_name,position_group,club,source_status
1,David Raya,Goalkeeper,Arsenal FC,official
2,Marc Pubill,Defender,Atletico de Madrid,official
3,Alejandro Grimaldo,Defender,Bayer 04 Leverkusen,official
4,Eric Garcia,Defender,FC Barcelona,official
5,Marcos Llorente,Defender,Atletico de Madrid,official
6,Mikel Merino,Midfielder,Arsenal FC,official
7,Ferran Torres,Forward,FC Barcelona,official
8,Fabian Ruiz,Midfielder,Paris Saint-Germain,official
9,Gavi,Midfielder,FC Barcelona,official
10,Dani Olmo,Forward,FC Barcelona,official
11,Yeremy Pino,Forward,Crystal Palace FC,official
12,Pedro Porro,Defender,Tottenham Hotspur,official
13,Joan Garcia,Goalkeeper,FC Barcelona,official
14,Aymeric Laporte,Defender,Athletic Club,official
15,Alex Baena,Midfielder,Atletico de Madrid,official
16,Rodri,Midfielder,Manchester City FC,official
17,Nico Williams,Forward,Athletic Club,official
18,Martin Zubimendi,Midfielder,Arsenal FC,official
19,Lamine Yamal,Forward,FC Barcelona,official
20,Pedri,Midfielder,FC Barcelona,official
21,Mikel Oyarzabal,Forward,Real Sociedad,official
22,Pau Cubarsi,Defender,FC Barcelona,official
23,Unai Simon,Goalkeeper,Athletic Club,official
24,Marc Cucurella,Defender,Chelsea FC,official
25,Victor Munoz,Forward,CA Osasuna,official
26,Borja Iglesias,Forward,RC Celta,official
